Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Gemeinde,2017,88519
01002000,"Kiel, Landeshauptstadt",Gemeinde,2017,247943
01003000,"Lübeck, Hansestadt",Gemeinde,2017,216318
01004000,"Neumünster, Stadt",Gemeinde,2017,79335
01051001,Albersdorf,Gemeinde,2017,3717
01051002,Arkebek,Gemeinde,2017,198
01051003,Averlak,Gemeinde,2017,566
01051004,Bargenstedt,Gemeinde,2017,939
01051005,Barkenholm,Gemeinde,2017,160
01051006,Barlt,Gemeinde,2017,763
01051008,Bergewöhrden,Gemeinde,2017,33
01051010,Brickeln,Gemeinde,2017,220
01051011,"Brunsbüttel, Stadt",Gemeinde,2017,12704
01051012,Buchholz,Gemeinde,2017,1010
01051013,Büsum,Gemeinde,2017,4867
01051014,Büsumer Deichhausen,Gemeinde,2017,361
01051015,Bunsoh,Gemeinde,2017,782
01051016,Burg (Dithmarschen),Gemeinde,2017,4141
01051017,Busenwurth,Gemeinde,2017,316
01051019,Dellstedt,Gemeinde,2017,741
01051020,Delve,Gemeinde,2017,696
01051021,Diekhusen-Fahrstedt,Gemeinde,2017,712
01051022,Dingen,Gemeinde,2017,621
01051023,Dörpling,Gemeinde,2017,602
01051024,Eddelak,Gemeinde,2017,1361
01051026,Eggstedt,Gemeinde,2017,745
01051027,Elpersbüttel,Gemeinde,2017,865
01051028,Epenwöhrden,Gemeinde,2017,786
01051030,Fedderingen,Gemeinde,2017,286
01051032,Frestedt,Gemeinde,2017,344
01051033,Friedrichsgabekoog,Gemeinde,2017,54
01051034,Friedrichskoog,Gemeinde,2017,2570
01051035,Gaushorn,Gemeinde,2017,170
01051036,Glüsing,Gemeinde,2017,110
01051037,Großenrade,Gemeinde,2017,470
01051038,Groven,Gemeinde,2017,86
01051039,Gudendorf,Gemeinde,2017,376
01051043,Hedwigenkoog,Gemeinde,2017,216
01051044,"Heide, Stadt",Gemeinde,2017,21699
01051045,Hellschen-Heringsand-Unterschaar,Gemeinde,2017,170
01051046,Helse,Gemeinde,2017,836
01051047,Hemme,Gemeinde,2017,493
01051048,Hemmingstedt,Gemeinde,2017,2863
01051049,Hennstedt,Gemeinde,2017,1940
01051050,Hillgroven,Gemeinde,2017,65
01051051,Hochdonn,Gemeinde,2017,1101
01051052,Hövede,Gemeinde,2017,61
01051053,Hollingstedt,Gemeinde,2017,293
01051054,Immenstedt,Gemeinde,2017,102
01051057,Kaiser-Wilhelm-Koog,Gemeinde,2017,359
